"DairitenTK_CD","TekiyoKaishi_DT","TekiyoShuryo_DT","Del_FLG","Sakuseisha_ID","Sakusei_DT","SakuseiProgram_ID","Koshinsha_ID","Koshin_DT","KoshinProgram_ID","DairitenTK_Name_KJKC","DairitenTK_Name_KJ","DairitenTK_Name_KJR","DairitenTK_Name_KJK","DairitenTK_Name_KN","DairitenTK_Name_KNR","Yubinbango","Jusho_CD","Jusho_KJ","TEL_NO","FAX_NO","DairitenTK_KBN","DairitenTK_Seisaku_KBN","Nijiten_KBN","Keikakutani_FLG","PrintI_CTL","PrintYK_CTL","TorihikiKaishi_DT","TorihikiChushi_DT","Toroku_DT","agency_cd"
"15027","11/01/2012 00:00:00","02/07/2019 00:00:00","0","ecl04321","03/29/2018 18:50:00","803001","ecl04321","03/29/2018 18:50:00","803001","（株）バイタルネット新潟","（株）バイタルネット新潟","バイタルネットＨＣ","バイタルＮ","ﾊﾞｲﾀﾙﾈﾂﾄKK ﾍﾙｽｹｱﾆｲｶﾞ","ﾊﾞｲﾀﾙﾈﾂﾄKK","980-0805","04101015000","宮城県仙台市青葉区大手町１－１","03-3817-3967","","1","3","","","999","001","20010101","20121121","20001218",""
"15029","01/01/2000 00:00:00","06/30/2015 00:00:00","0","ecl04321","03/29/2018 18:50:00","803001","ecl04321","03/29/2018 18:50:00","803001","（株）Ｐａｌｔａｃ新潟支店","（株）Ｐａｌｔａｃ新潟支店","Ｐａｌｔａｃ新潟支店","パル新潟","KK ﾊﾟﾙﾀﾂｸﾆｲｶﾞﾀ","ﾊﾟﾙﾆｲｶﾞﾀ","954-0076","15211079000","新潟県見附市新幸町５ー３","0258-61-2346","0258-61-2377","1","3","","","","","20081028","","20081028",""
"15029","07/01/2015 00:00:00","02/07/2019 00:00:00","0","ecl05317","03/29/2018 18:50:00","803001","ecl05317","03/29/2018 18:50:00","803001","（株）ＰＡＬＴＡＣ新潟支店","（株）ＰＡＬＴＡＣ新潟支店","ＰＡＬＴＡＣ新潟支店","ＰＴ新潟","KK ﾊﾟﾙﾀﾂｸﾆｲｶﾞﾀ","ﾊﾟﾙﾆｲｶﾞﾀ","954-0076","15211079000","新潟県見附市新幸町５ー３","0258-61-2346","0258-61-2377","1","3","","","","","20081028","","20081028",""
"15888","01/01/2000 00:00:00","12/31/9999 00:00:00","0","ecl04742","03/29/2018 18:50:00","803001","ecl04742","03/29/2018 18:50:00","803001","新潟の代理店","新潟の代理店","新潟の代理店","新・代理店","ﾆｲｶﾞﾀ ﾉ ﾀﾞｲﾘﾃﾝ","ﾆｲｶﾞﾀ","","00000000000","","0000-00-0000","","9","3","","","","","19000101","","19000101",""
"15889","01/01/2000 00:00:00","12/31/9999 00:00:00","0","ecl04742","03/29/2018 18:50:00","803001","ecl04742","03/29/2018 18:50:00","803001","新潟の代理店","新潟の代理店","新潟の代理店","新・代理店","ﾆｲｶﾞﾀﾉ ﾀﾞｲﾘﾃﾝ","ﾆｲｶﾞﾀ","","00000000000","","0000-00-0000","","9","3","","","","","19000101","","19000101",""
"16001","01/01/2000 00:00:00","02/07/2019 00:00:00","0","ecld0918","03/29/2018 18:50:00","803001","ecld0918","03/29/2018 18:50:00","803001","（株）井上誠昌堂","（株）井上誠昌堂","井上誠昌堂","井上","KK ｲﾉｳｴ ｾｲｼﾖｳﾄﾞｳ","ｲﾉｳｴ","933-0344","16202095000","富山県高岡市笹川２６００番地","0000-00-0000","","1","3","","","027","001","19000101","","19000101",""
"16004","01/01/2000 00:00:00","12/31/2013 00:00:00","0","ecld0918","03/29/2018 18:50:00","803001","ecld0918","03/29/2018 18:50:00","803001","（株）フレット","（株）フレット","フレット","フレット","KK ﾌﾚﾂﾄ","ﾌﾚﾂﾄ","920-0205","17201066000","石川県金沢市大浦町ハ５５番地","076-239-0032","076-239-0092","1","3","","5","025","004","19000101","","19000101","16004"
"16004","01/01/2014 00:00:00","04/23/2018 00:00:00","0","ecl02796","03/29/2018 18:50:00","803001","ecl02796","03/29/2018 18:50:00","803001","（株）ファイネス","（株）ファイネス","ファイネス","ファイネス","KK ﾌｱｲﾈｽ","ﾌｱｲﾈｽ","920-0205","17201066000","石川県金沢市大浦町ハ５５番地","076-239-0613","","1","3","","5","025","004","20140101","","20140101","16004"
"16005","01/01/2000 00:00:00","04/19/2018 00:00:00","0","ecld0918","03/29/2018 18:50:00","803001","ecld0918","03/29/2018 18:50:00","803001","（株）スズケン富山営業部","（株）スズケン富山営業部","スズケン富山営業部","Ｓ・富山","KK ｽｽﾞｹﾝ ﾄﾔﾏ ｴｲｷﾞﾖｳ","ｽｽﾞｹﾝ ﾄﾔﾏ","939-8214","16201140000","富山県富山市黒崎４５１－１","0000-00-0000","","1","3","","5","026","","19000101","","19000101","23049"
"16021","04/01/2017 00:00:00","06/28/2018 00:00:00","0","ecl07119","03/29/2018 18:50:00","803001","ecl07119","03/29/2018 18:50:00","803001","協栄薬品（株）","協栄薬品（株）","協栄薬品","協栄薬品","ｷﾖｳｴｲﾔｸﾋﾝ","ｷﾖｳｴｲﾔｸﾋﾝ","930-0992","16201199000","富山県富山市新庄町４４番地５","076-424-9421","","2","3","2","","900","900","20170401","","20170323",""
"16888","01/01/2000 00:00:00","12/31/9999 00:00:00","0","ecl04742","03/29/2018 18:50:00","803001","ecl04742","03/29/2018 18:50:00","803001","富山の代理店","富山の代理店","富山の代理店","富・代理店","ﾄﾔﾏﾉ ﾀﾞｲﾘﾃﾝ","ﾄﾔﾏ","","00000000000","","0000-00-0000","","9","3","","","","","19000101","","19000101",""
"16889","01/01/2000 00:00:00","12/31/9999 00:00:00","0","ecl04742","03/29/2018 18:50:00","803001","ecl04742","03/29/2018 18:50:00","803001","富山の代理店","富山の代理店","富山の代理店","富・代理店","ﾄﾔﾏﾉ ﾀﾞｲﾘﾃﾝ","ﾄﾔﾏ","","00000000000","","0000-00-0000","","9","3","","","","","19000101","","19000101",""
"17001","01/01/2000 00:00:00","04/23/2018 00:00:00","0","ecl07868","03/29/2018 18:50:00","803001","ecl07868","03/29/2018 18:50:00","803001","明祥（株）","明祥（株）","明祥","明祥","ﾒｲｼﾖｳ KK","ﾒｲｼﾖｳ","920-0332","17201471000","石川県金沢市無量寺町ハ一番地","0762-66-4141","0762-66-4111","1","3","","5","022","005","19000101","","19000101","17001"
"17004","01/01/2000 00:00:00","03/31/2013 00:00:00","0","ecld0918","03/29/2018 18:50:00","803001","ecld0918","03/29/2018 18:50:00","803001","（株）スズケン金沢営業部","（株）スズケン金沢営業部","スズケン金沢営業部","Ｓ・金沢","KKｽｽﾞｹﾝ ｶﾅｻﾞﾜ ｴｲｷﾞﾖｳ","ｽｽﾞｹﾝ ｶﾅｻﾜ","920-0061","17201309002","石川県金沢市問屋町２丁目５０","0000-00-0000","","1","3","","4","023","","19000101","","19000101","23049"
"17004","04/01/2013 00:00:00","04/19/2018 00:00:00","0","ips00015","03/29/2018 18:50:00","803001","ips00015","03/29/2018 18:50:00","803001","（株）スズケン金沢営業部","（株）スズケン金沢営業部","スズケン金沢営業部","Ｓ・金沢","KKｽｽﾞｹﾝ ｶﾅｻﾞﾜ ｴｲｷﾞﾖｳ","ｽｽﾞｹﾝ ｶﾅｻﾜ","920-0061","17201309002","石川県金沢市問屋町２丁目５０","0000-00-0000","","1","3","","5","023","","19000101","","19000101","23049"
"17011","01/01/2000 00:00:00","03/31/2016 00:00:00","0","ecl04321","03/29/2018 18:50:00","803001","ecl04321","03/29/2018 18:50:00","803001","（株）Ｐａｌｔａｃ金沢支店","（株）Ｐａｌｔａｃ金沢支店","Ｐａｌｔａｃ金沢支店","ＰＴ金沢","KK ﾊﾟﾙﾀﾂｸ ｶﾅｻﾞﾜ ｼﾃﾝ","ﾊﾟﾙ ｶﾅｻﾞﾜ","924-0004","17210005002","石川県白山市旭丘２丁目６番地","076-275-2000","076-276-8899","1","3","","","","","19980401","","19900918","17011"
"17011","04/01/2016 00:00:00","10/08/2020 00:00:00","0","ecl05317","03/29/2018 18:50:00","803001","ecl05317","03/29/2018 18:50:00","803001","（株）ＰＡＬＴＡＣ北陸支社","（株）ＰＡＬＴＡＣ北陸支社","ＰＡＬＴＡＣ北陸支社","ＰＴ北陸","KK ﾊﾟﾙﾀﾂｸ ﾎｸﾘｸ ｼｼﾔ","ﾊﾟﾙ ﾎｸﾘｸ","929-0108","17211078002","石川県能美市能美２丁目３番地","0761-56-1509","0761-56-0420","1","3","","","","","19980401","","19900918","17011"
"17022","01/01/2000 00:00:00","03/31/2013 00:00:00","0","ecld0918","03/29/2018 18:50:00","803001","ecld0918","03/29/2018 18:50:00","803001","メディセオ北陸統括営業部","メディセオ北陸統括営業部","メディセオ北陸統括","ＭＣ北陸","ﾒﾃﾞｲｾｵ ﾎｸﾘｸ ﾄｳｶﾂ","MCﾎｸﾘｸ","920-0806","17201231003","石川県金沢市神宮寺３丁目","0000-00-0000","","1","3","","5","398","014","20091001","","20090917","28026"
"17022","04/01/2013 00:00:00","03/31/2016 00:00:00","0","ips00015","03/29/2018 18:50:00","803001","ips00015","03/29/2018 18:50:00","803001","メディセオ北陸統括営業部","メディセオ北陸統括営業部","メディセオ北陸統括","ＭＣ北陸","ﾒﾃﾞｲｾｵ ﾎｸﾘｸ ﾄｳｶﾂ","MCﾎｸﾘｸ","920-0806","17201231003","石川県金沢市神宮寺３丁目","0000-00-0000","","1","3","","1","398","014","20091001","","20090917","28026"
"17022","04/01/2016 00:00:00","04/19/2018 00:00:00","0","ips00023","03/29/2018 18:50:00","803001","ips00023","03/29/2018 18:50:00","803001","（株）メディセオ北陸統括営業部","メディセオ北陸統括営業部","メディセオ北陸統括","ＭＣ北陸","ﾒﾃﾞｲｾｵ ﾎｸﾘｸ ﾄｳｶﾂ","MCﾎｸﾘｸ","920-0806","17201231003","石川県金沢市神宮寺３丁目","0000-00-0000","","1","3","","1","398","014","20091001","","20090917","28026"
"17024","01/01/2000 00:00:00","09/30/2025 00:00:00","0","ecl04291","03/29/2018 18:50:00","803001","ecl04291","03/29/2018 18:50:00","803001","明祥　ＰＦＩＺＥＲ","明祥　ＰＦＩＺＥＲ","明祥　ＰＦＩＺＥＲ","明祥　フア","ﾒｲｼﾖｳ ﾌｱｲｻﾞ-","ﾒｲｼﾖｳ ﾌｱｲｻ","920-0332","17201471000","石川県金沢市無量寺町ハ一番地","0762-66-4141","0762-66-4111","1","3","","5","022","005","20110501","","20110510",""
"17888","01/01/2000 00:00:00","02/28/2013 00:00:00","0","ecld0913","03/29/2018 18:50:00","803001","ecld0913","03/29/2018 18:50:00","803001","石川の代理店","石川の代理店","石川の代理店","石・代理店","ｲｼｶﾜﾉ ﾀﾞｲﾘﾃﾝ","ｲｼｶﾜ","","00000000000","","0000-00-0000","","9","3","","","","","195105","","195105",""
"17888","03/01/2013 00:00:00","12/31/9999 00:00:00","0","ips00015","03/29/2018 18:50:00","803001","ips00015","03/29/2018 18:50:00","803001","石川の代理店","石川の代理店","石川の代理店","石・代理店","ｲｼｶﾜﾉ ﾀﾞｲﾘﾃﾝ","ｲｼｶﾜ","","00000000000","","0000-00-0000","","9","3","","","","","19000101","","19000101",""
"17889","01/01/2000 00:00:00","12/31/9999 00:00:00","0","ecl04742","03/29/2018 18:50:00","803001","ecl04742","03/29/2018 18:50:00","803001","石川の代理店","石川の代理店","石川の代理店","石・代理店","ｲｼｶﾜﾉ ﾀﾞｲﾘﾃﾝ","ｲｼｶﾜ","","00000000000","","0000-00-0000","","9","3","","","","","19000101","","19000101",""
"18009","01/01/2000 00:00:00","12/31/2017 00:00:00","0","ecld0918","03/29/2018 18:50:00","803001","ecld0918","03/29/2018 18:50:00","803001","（株）スズケン福井営業部","（株）スズケン福井営業部","スズケン福井営業部","Ｓ・福井","KK ｽｽﾞｹﾝ ﾌｸｲ ｴｲｷﾞﾖｳ","ｽｽﾞｹﾝ ﾌｸｲ","910-0851","18201414002","福井県福井市米松２丁目２０－１５","0000-00-0000","","1","3","","4","028","","19000101","","19000101","23049"
"18009","01/01/2018 00:00:00","04/19/2018 00:00:00","0","ips00023","03/29/2018 18:50:00","803001","ips00023","03/29/2018 18:50:00","803001","（株）スズケン福井営業部","（株）スズケン福井営業部","スズケン福井営業部","Ｓ・福井","KK ｽｽﾞｹﾝ ﾌｸｲ ｴｲｷﾞﾖｳ","ｽｽﾞｹﾝ ﾌｸｲ","910-0851","18201414002","福井県福井市米松２丁目２０－１５","0000-00-0000","","1","3","","5","028","","19000101","","19000101","23049"
"18888","01/01/2000 00:00:00","02/28/2013 00:00:00","0","ecld0913","03/29/2018 18:50:00","803001","ecld0913","03/29/2018 18:50:00","803001","福井の代理店","福井の代理店","福井の代理店","福・代理店","ﾌｸｲﾉ ﾀﾞｲﾘﾃﾝ","ﾌｸｲ","","00000000000","","0000-00-0000","","9","3","","","","","195105","","195105",""
"18888","03/01/2013 00:00:00","12/31/9999 00:00:00","0","ips00015","03/29/2018 18:50:00","803001","ips00015","03/29/2018 18:50:00","803001","福井の代理店","福井の代理店","福井の代理店","福・代理店","ﾌｸｲﾉ ﾀﾞｲﾘﾃﾝ","ﾌｸｲ","","00000000000","","0000-00-0000","","9","3","","","","","19000101","","19000101",""
"18889","01/01/2000 00:00:00","12/31/9999 00:00:00","0","ecl04742","03/29/2018 18:50:00","803001","ecl04742","03/29/2018 18:50:00","803001","福井の代理店","福井の代理店","福井の代理店","福・代理店","ﾌｸｲﾉ ﾀﾞｲﾘﾃﾝ","ﾌｸｲ","","00000000000","","0000-00-0000","","9","3","","","","","19000101","","19000101",""
"19003","01/01/2000 00:00:00","03/31/2016 00:00:00","0","ecld0918","03/29/2018 18:50:00","803001","ecld0918","03/29/2018 18:50:00","803001","（株）スズケン　甲府営業部","（株）スズケン　甲府営業部","（株）スズケン　甲府","Ｓ・甲府","KK ｽｽﾞｹﾝ ｺｳﾌ ｴｲｷﾞﾖｳ","ｽｽﾞｹﾝ ｺｳﾌ","409-3845","19214026000","山梨県中央市山之神","0000-00-0000","","1","3","","1","326","","19000101","","19000101","23049"
"19003","04/01/2016 00:00:00","04/14/2024 00:00:00","0","ips00023","03/29/2018 18:50:00","803001","ips00023","03/29/2018 18:50:00","803001","（株）スズケン甲府営業部","（株）スズケン甲府営業部","スズケン甲府営業部","Ｓ・甲府","KK ｽｽﾞｹﾝ ｺｳﾌ ｴｲｷﾞﾖｳ","ｽｽﾞｹﾝ ｺｳﾌ","409-3845","19214026000","山梨県中央市山之神","0000-00-0000","","1","3","","1","326","","19000101","","19000101","23049"
"19011","01/01/2000 00:00:00","09/30/2013 00:00:00","0","ecld0918","03/29/2018 18:50:00","803001","ecld0918","03/29/2018 18:50:00","803001","東邦薬品　長野山梨営業部","東邦薬品　長野山梨営業部","東邦　長野山梨営業部","東邦長・山","ﾄｳﾎｳﾔｸﾋﾝ ﾅｶﾞﾉﾔﾏﾅｼ","ﾄｳﾎｳﾅｶﾞ･ﾔﾏ","400-0047","19201082004","山梨県甲府市徳行４丁目４－１３－３０","055-228-7211","055-228-1857","1","3","","1","323","","20081001","","20090310","13013"
"19011","10/01/2013 00:00:00","03/31/2016 00:00:00","0","ecl02796","03/29/2018 18:50:00","803001","ecl02796","03/29/2018 18:50:00","803001","東邦薬品　山梨営業部","東邦薬品　山梨営業部","東邦　山梨営業部","東邦山梨","ﾄｳﾎｳﾔｸﾋﾝ ﾔﾏﾅｼ","ﾄｳﾎｳﾔﾏﾅｼ","400-0047","19201082004","山梨県甲府市徳行４丁目４－１３－３０","055-228-7211","055-228-1857","1","3","","1","323","","20081001","","20090310","13013"
"19011","04/01/2016 00:00:00","04/14/2024 00:00:00","0","ips00023","03/29/2018 18:50:00","803001","ips00023","03/29/2018 18:50:00","803001","東邦薬品（株）山梨営業部","東邦薬品（株）山梨営業部","東邦薬品山梨営業部","東邦山梨","ﾄｳﾎｳﾔｸﾋﾝ ﾔﾏﾅｼ","ﾄｳﾎｳﾔﾏﾅｼ","400-0047","19201082004","山梨県甲府市徳行４丁目４－１３－３０","055-228-7211","055-228-1857","1","3","","1","323","","20081001","","20090310","13013"
"19888","01/01/2000 00:00:00","12/31/9999 00:00:00","0","ecl04742","03/29/2018 18:50:00","803001","ecl04742","03/29/2018 18:50:00","803001","山梨の代理店","山梨の代理店","山梨の代理店","山・代理店","ﾔﾏﾅｼ ﾉ ﾀﾞｲﾘﾃﾝ","ﾔﾏﾅｼ","","00000000000","","0000-00-0000","","9","3","","","","","19000101","","19000101",""
"19889","01/01/2000 00:00:00","12/31/9999 00:00:00","0","ecl04742","03/29/2018 18:50:00","803001","ecl04742","03/29/2018 18:50:00","803001","山梨の代理店","山梨の代理店","山梨の代理店","山・代理店","ﾔﾏﾅｼﾉ ﾀﾞｲﾘﾃﾝ","ﾔﾏﾅｼ","","00000000000","","0000-00-0000","","9","3","","","","","19000101","","19000101",""
"20001","01/01/2000 00:00:00","04/14/2024 00:00:00","0","ecld0918","03/29/2018 18:50:00","803001","ecld0918","03/29/2018 18:50:00","803001","岡野薬品（株）","岡野薬品（株）","岡野薬品","岡野","ｵｶﾉ ﾔｸﾋﾝ KK","ｵｶﾉ","390-0814","20202072001","長野県松本市本庄１丁目５－１４","0000-00-0000","","1","3","","","325","040","19000101","","19000101","20001"
"20004","01/01/2000 00:00:00","02/28/2013 00:00:00","0","ecld0918","03/29/2018 18:50:00","803001","ecld0918","03/29/2018 18:50:00","803001","アルフレッサ長野山梨営業部","アルフレッサ長野山梨営業部","アルフレッサ長野山梨","ＡＬ長野山","ｱﾙﾌﾚﾂｻ ﾅｶﾞﾉ ﾔﾏﾅｼ","ALﾅｶﾞﾉﾔﾏﾅｼ","381-2217","20201251004","長野県長野市稲里町中央４丁目４－１２","026-283-6601","","1","1","","5","321","037","19000101","","19000101","13149"
"20004","03/01/2013 00:00:00","03/31/2016 00:00:00","0","ips00025","03/29/2018 18:50:00","803001","ips00025","03/29/2018 18:50:00","803001","アルフレッサ長野山梨営業部","アルフレッサ長野山梨営業部","アルフレッサ長野山梨","ＡＦ長野山","ｱﾙﾌﾚﾂｻ ﾅｶﾞﾉ ﾔﾏﾅｼ","AFﾅｶﾞﾉﾔﾏﾅｼ","381-2217","20201251004","長野県長野市稲里町中央４丁目４－１２","026-283-6601","","1","1","","5","321","037","19000101","","19000101","13149"
"20004","04/01/2016 00:00:00","04/14/2024 00:00:00","0","ips00023","03/29/2018 18:50:00","803001","ips00023","03/29/2018 18:50:00","803001","アルフレッサ（株）長野山梨","アルフレッサ（株）長野山梨","アルフレッサ長野山梨","ＡＦ長野山","ｱﾙﾌﾚﾂｻ ﾅｶﾞﾉ ﾔﾏﾅｼ","AFﾅｶﾞﾉﾔﾏﾅｼ","381-2217","20201251004","長野県長野市稲里町中央４丁目４－１２","026-283-6601","","1","1","","5","321","037","19000101","","19000101","13149"
"20005","01/01/2000 00:00:00","04/14/2024 00:00:00","0","ecld0918","03/29/2018 18:50:00","803001","ecld0918","03/29/2018 18:50:00","803001","鍋林（株）","鍋林（株）","鍋林","鍋林","ﾅﾍﾞﾘﾝ KK","ﾅﾍﾞﾘﾝ","390-0833","20202070000","長野県松本市双葉８ー１０","0000-00-0000","","1","3","","1","324","","19000101","","19000101","20005"
"20010","01/01/2000 00:00:00","03/31/2013 00:00:00","0","ecld0918","03/29/2018 18:50:00","803001","ecld0918","03/29/2018 18:50:00","803001","（株）スズケン　長野営業部","（株）スズケン　長野営業部","スズケン　長野営業部","Ｓ・長野","KK ｽｽﾞｹﾝ ﾅｶﾞﾉ ｴｲｷﾞﾖｳ","ｽｽﾞｹﾝﾅｶﾞﾉ","399-0716","20215008000","長野県塩尻市大字桟敷大字桟敷２１２","0000-00-0000","","1","3","","4","322","041","19000101","","19000101","23049"
"20010","04/01/2013 00:00:00","09/30/2015 00:00:00","0","ips00015","03/29/2018 18:50:00","803001","ips00015","03/29/2018 18:50:00","803001","（株）スズケン　長野営業部","（株）スズケン　長野営業部","スズケン　長野営業部","Ｓ・長野","KK ｽｽﾞｹﾝ ﾅｶﾞﾉ ｴｲｷﾞﾖｳ","ｽｽﾞｹﾝﾅｶﾞﾉ","399-0716","20215008000","長野県塩尻市大字桟敷大字桟敷２１２","0000-00-0000","","1","3","","5","322","041","19000101","","19000101","23049"
"20010","10/01/2015 00:00:00","03/31/2016 00:00:00","0","ips00015","03/29/2018 18:50:00","803001","ips00015","03/29/2018 18:50:00","803001","（株）スズケン　長野営業部","（株）スズケン　長野営業部","スズケン　長野営業部","Ｓ・長野","KK ｽｽﾞｹﾝ ﾅｶﾞﾉ ｴｲｷﾞﾖｳ","ｽｽﾞｹﾝﾅｶﾞﾉ","399-0716","20215008000","長野県塩尻市大字桟敷大字桟敷２１２","0000-00-0000","","1","3","","1","322","041","19000101","","19000101","23049"
"20010","04/01/2016 00:00:00","04/14/2024 00:00:00","0","ips00023","03/29/2018 18:50:00","803001","ips00023","03/29/2018 18:50:00","803001","（株）スズケン長野営業部","（株）スズケン長野営業部","スズケン長野営業部","Ｓ・長野","KK ｽｽﾞｹﾝ ﾅｶﾞﾉ ｴｲｷﾞﾖｳ","ｽｽﾞｹﾝﾅｶﾞﾉ","399-0716","20215008000","長野県塩尻市大字桟敷大字桟敷２１２","0000-00-0000","","1","3","","1","322","041","19000101","","19000101","23049"
"20017","01/01/2000 00:00:00","02/07/2019 00:00:00","0","ecld0918","03/29/2018 18:50:00","803001","ecld0918","03/29/2018 18:50:00","803001","（株）アデックス","（株）アデックス","（株）アデックス","アデックス","KK.ｱﾃﾞﾂｸｽ","ｱﾃﾞﾂｸｽ","399-0032","20202091000","長野県松本市大字芳川村井町９４５　番地４","0263-27-7878","0263-25-6126","1","2","","","999","","19961001","","19960905","23002"
"20022","01/01/2000 00:00:00","03/31/2013 00:00:00","0","ecl07868","03/29/2018 18:50:00","803001","ecl07868","03/29/2018 18:50:00","803001","メディセオ甲信越統括営業部","メディセオ甲信越統括営業部","メディセオ甲信越統括","ＭＣ甲信越","ﾒﾃﾞｲｾｵ ｺｳｼﾝｴﾂﾄｳｶﾂ","MCｺｳｼﾝｴﾂ","399-0000","20202000000","長野県松本市大字笹賀７６００―５５","0000-00-0000","","1","3","","5","327","007","20091001","","20090917","28026"
"20022","04/01/2013 00:00:00","03/31/2016 00:00:00","0","ips00015","03/29/2018 18:50:00","803001","ips00015","03/29/2018 18:50:00","803001","メディセオ甲信越統括営業部","メディセオ甲信越統括営業部","メディセオ甲信越統括","ＭＣ甲信越","ﾒﾃﾞｲｾｵ ｺｳｼﾝｴﾂﾄｳｶﾂ","MCｺｳｼﾝｴﾂ","399-0000","20202000000","長野県松本市大字笹賀７６００―５５","0000-00-0000","","1","3","","1","327","007","20091001","","20090917","28026"
"20022","04/01/2016 00:00:00","04/07/2019 00:00:00","0","ips00023","03/29/2018 18:50:00","803001","ips00023","03/29/2018 18:50:00","803001","（株）メディセオ甲信越統括営業部","メディセオ甲信越統括営業部","メディセオ甲信越統括","ＭＣ甲信越","ﾒﾃﾞｲｾｵ ｺｳｼﾝｴﾂﾄｳｶﾂ","MCｺｳｼﾝｴﾂ","399-0033","20202035000","長野県松本市大字笹賀大字笹賀７６００―５５","0000-00-0000","","1","3","","1","327","007","20091001","","20090917","28026"
"20023","10/01/2013 00:00:00","03/31/2016 00:00:00","0","ecl02796","03/29/2018 18:50:00","803001","ecl02796","03/29/2018 18:50:00","803001","東邦薬品　長野営業部","東邦薬品　長野営業部","東邦　長野営業部","東邦長野","ﾄｳﾎｳﾔｸﾋﾝ ﾅｶﾞﾉｴｲｷﾞﾖｳ","ﾄｳﾎｳﾅｶﾞﾉ","399-0702","20215031000","長野県塩尻市大字広丘野村１９８６","0263-53-3388","0263-53-3366","1","3","","1","324","","20131001","","20131021","13013"
"20023","04/01/2016 00:00:00","04/14/2024 00:00:00","0","ips00023","03/29/2018 18:50:00","803001","ips00023","03/29/2018 18:50:00","803001","東邦薬品（株）長野営業部","東邦薬品（株）長野営業部","東邦薬品長野営業部","東邦長野","ﾄｳﾎｳﾔｸﾋﾝ ﾅｶﾞﾉｴｲｷﾞﾖｳ","ﾄｳﾎｳﾅｶﾞﾉ","399-0702","20215031000","長野県塩尻市大字広丘野村１９８６","0263-53-3388","0263-53-3366","1","3","","1","324","","20131001","","20131021","13013"
"20888","01/01/2000 00:00:00","12/31/9999 00:00:00","0","ecl04742","03/29/2018 18:50:00","803001","ecl04742","03/29/2018 18:50:00","803001","長野の代理店","長野の代理店","長野の代理店","長・代理店","ﾅｶﾞﾉ ﾉ ﾀﾞｲﾘﾃﾝ","ﾅｶﾞﾉ","","00000000000","","0000-00-0000","","9","3","","","","","19000101","","19000101",""
"20889","01/01/2000 00:00:00","12/31/9999 00:00:00","0","ecl04742","03/29/2018 18:50:00","803001","ecl04742","03/29/2018 18:50:00","803001","長野の代理店","長野の代理店","長野の代理店","長・代理店","ﾅｶﾞﾉﾉ ﾀﾞｲﾘﾃﾝ","ﾅｶﾞﾉ","","00000000000","","0000-00-0000","","9","3","","","","","19000101","","19000101",""
"21002","01/01/2000 00:00:00","02/28/2013 00:00:00","0","ecl04291    ","03/29/2018 18:50:00","803001","ecl04291    ","03/29/2018 18:50:00","803001","アルフレッサ日建産業（株）","アルフレッサ日建産業（株）","アルフレッサ日建産業","ＡＬ日建","ｱﾙﾌﾚﾂｻ ﾆﾂｹﾝｻﾝｷﾞﾖｳ KK","ALﾆﾂｹﾝ","500-8281","21201571002","岐阜県岐阜市東鶉２丁目１１５－３","0000-00-0000","","1","3","","5","203","010","19000101","","19000101","13149"
"21002","03/01/2013 00:00:00","03/31/2016 00:00:00","0","ips00025","03/29/2018 18:50:00","803001","ips00025","03/29/2018 18:50:00","803001","アルフレッサ日建産業（株）","アルフレッサ日建産業（株）","アルフレッサ日建産業","ＡＦ日建","ｱﾙﾌﾚﾂｻ ﾆﾂｹﾝｻﾝｷﾞﾖｳ KK","AFﾆﾂｹﾝ","500-8281","21201571002","岐阜県岐阜市東鶉２丁目１１５－３","0000-00-0000","","1","3","","5","203","010","19000101","","19000101","13149"
"21002","04/01/2016 00:00:00","04/14/2019 00:00:00","0","ecl02796","03/29/2018 18:50:00","803001","ecl02796","03/29/2018 18:50:00","803001","アルフレッサ（株）岐阜","アルフレッサ（株）岐阜","アルフレッサ岐阜","ＡＦ岐阜","ｱﾙﾌﾚﾂｻ ｷﾞﾌ","AF ｷﾞﾌ","500-8281","21201571002","岐阜県岐阜市東鶉２丁目１１５－３","0000-00-0000","","1","3","","5","203","010","19000101","","19000101","13149"
"21004","01/01/2000 00:00:00","03/31/2013 00:00:00","0","ecld0918","03/29/2018 18:50:00","803001","ecld0918","03/29/2018 18:50:00","803001","（株）スズケン　岐阜営業部","（株）スズケン　岐阜営業部","スズケン岐阜営業部","Ｓ・岐阜","KK ｽｽﾞｹﾝ ｷﾞﾌｴｲｷﾞﾖｳﾌﾞ","ｽｽﾞｹﾝ ｷﾞﾌ","500-8357","21201737003","岐阜県岐阜市六条大溝３丁目４－１８","0000-00-0000","","1","3","","4","202","012","19000101","","19000101","23049"
"21004","04/01/2013 00:00:00","10/31/2013 00:00:00","0","ips00015","03/29/2018 18:50:00","803001","ips00015","03/29/2018 18:50:00","803001","（株）スズケン　岐阜営業部","（株）スズケン　岐阜営業部","スズケン岐阜営業部","Ｓ・岐阜","KK ｽｽﾞｹﾝ ｷﾞﾌｴｲｷﾞﾖｳﾌﾞ","ｽｽﾞｹﾝ ｷﾞﾌ","500-8357","21201737003","岐阜県岐阜市六条大溝３丁目４－１８","0000-00-0000","","1","3","","5","202","012","19000101","","19000101","23049"
